form	lemma	POS
###		
<lb/>	lb	XML
A	a	ADP
MADAMO	madama	NOUN
,	,	PUNCT
<lb/>	lb	XML
SOR	sòrre	NOUN
UNIQUO	unic	ADJ
DEL	de+lo	ADP+DET
REY	rei	NOUN
<lb/>	lb	XML
FORT	fòrt	ADV
CRESTIAN	crestian	ADJ
,	,	PUNCT
<lb/>	lb	XML
Regento	regent	NOUN
en	en	ADP
sons	son	DET
pais	país	NOUN
soubirans	soviran	ADJ
de	de	ADP
Bearn	Bearn	PROPN
,	,	PUNCT
etc	etc	X
.	.	PUNCT
<lb/>	lb	XML
Madamo	madama	NOUN
,	,	PUNCT
vous	vos	PRON
sabets	saber	VERB
milhou	melhor	ADV
<lb/>	lb	XML
que	que	SCONJ
non	non	ADV
pas	pas	ADV
my	ieu	PRON
que	que	SCONJ
forsso	fòrça	ADV
de	de	ADP
<lb/>	lb	XML
grans	grand	ADJ
persounatges	personatge	NOUN
an	aver	VERB
lou	lo	DET
tens	temps	NOUN
<lb/>	lb	XML
passat	passar	VERB
,	,	PUNCT
amay	amai	ADV
enquaros	encaras	ADV
mesprezados	mespresar	VERB
las	lo	DET
rimos	rima	NOUN
et	e	CCONJ
lous	lo	DET
Poetos	poèta	NOUN
.	.	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
nous	nos	PRON
trouban	trobar	VERB
atambé	atamben	ADV
que	que	SCONJ
<lb/>	lb	XML
de	de	ADP
grans	grand	ADJ
persounatges	personatge	NOUN
son	èsser	AUX
estats	estar	VERB
Poetos	poèta	NOUN
,	,	PUNCT
ô	o	CCONJ
per	per	ADP
<lb/>	lb	XML
lou	lo	DET
mens	mens	ADV
aimabou	aimar	VERB
grandomen	grandament	ADV
lous	lo	DET
que	qui	PRON
sabian	saber	VERB
<lb/>	lb	XML
rima	rimar	VERB
,	,	PUNCT
amay	amai	ADV
lour	lor	DET
rimalho	rimalha	NOUN
,	,	PUNCT
non	non	ADV
pas	pas	ADV
tan	tant	ADV
soulamen	solament	ADV
,	,	PUNCT
<lb/>	lb	XML
Madamo	madama	NOUN
,	,	PUNCT
lous	lo	DET
homes	òme	NOUN
literats	literat	ADJ
:	:	PUNCT
mas	mas	CCONJ
enquaros	encaras	ADV
de	de	ADP
<lb/>	lb	XML
grans	grand	ADJ
Reys	rei	NOUN
,	,	PUNCT
et	e	CCONJ
Princes	prince	NOUN
,	,	PUNCT
et	e	CCONJ
d'	de	ADP
Emperadous	emperador	NOUN
lous	el	PRON
an	aver	AUX
<lb/>	lb	XML
aguts	aver	VERB
en	en	ADP
grando	grand	ADJ
hounour	onor	NOUN
et	e	CCONJ
recoumandassieu	recomandacion	NOUN
:	:	PUNCT
et	e	CCONJ
<lb/>	lb	XML
entre	entre	ADP
d'	de	ADP
autres	autre	PRON
ieu	ieu	PRON
ey	aver	AUX
troubat	trobar	VERB
en	en	ADP
ligen	legir	VERB
,	,	PUNCT
que	que	SCONJ
lou	lo	DET
<lb/>	lb	XML
grant	grand	ADJ
Alexandre	Alexandre	PROPN
aprop	apròp	ADV
qu'	que	SCONJ
el	el	PRON
aguec	aver	AUX
gasanhado	gasanhar	VERB
la	lo	DET
<lb/>	lb	XML
victorio	victòria	NOUN
countro	contra	ADP
Darius	Darius	PROPN
Rey	rei	NOUN
de	de	ADP
Perssos	Persa	PROPN
,	,	PUNCT
que	qui	PRON
sus	sus	ADP
<lb/>	lb	XML
touts	tot	DET
autres	autre	DET
riches	riche	ADJ
butins	butin	NOUN
qu'	qui	PRON
el	el	PRON
fec	far	VERB
,	,	PUNCT
el	el	PRON
troubec	trobar	VERB
un	un	DET
<lb/>	lb	XML
petit	petit	ADJ
couffret	cofret	NOUN
d'	de	ADP
aur	aur	NOUN
qubert	cobrir	VERB
de	de	ADP
perlos	perla	NOUN
,	,	PUNCT
et	e	CCONJ
d'	de	ADP
autros	autre	DET
<lb/>	lb	XML
peiros	pèira	NOUN
de	de	ADP
grant	grand	ADJ
prets	pretz	NOUN
:	:	PUNCT
et	e	CCONJ
dins	dins	ADP
aquel	aquel	DET
couffret	cofret	NOUN
el	el	PRON
<lb/>	lb	XML
nou	non	ADV
voulguec	voler	VERB
pas	pas	ADV
metre	metre	VERB
las	lo	DET
sentours	sentor	NOUN
,	,	PUNCT
ni	ni	CCONJ
lous	lo	DET
enguens	enguent	NOUN
exelens	excellent	ADJ
,	,	PUNCT
coumo	coma	ADV
fasio	far	VERB
Darius	Darius	PROPN
:	:	PUNCT
mas	mas	CCONJ
el	el	PRON
y	i	PRON
metec	metre	VERB
tant	tant	ADV
soulamen	solament	ADV
las	lo	DET
rimos	rima	NOUN
d'	de	ADP
Homero	Omèra	PROPN
,	,	PUNCT
car	car	CCONJ
el	el	PRON
n'	non	ADV
estimabo	estimar	VERB
d'	de	ADP
abé	aver	VERB
ré	res	PRON
en	en	ADP
son	son	DET
